1.2,0,0.8,Very-low
1,0,0.6999,Very-low
0.8,0,0.6,Very-low
0.6,0,0.4,Very-low
0.2,0,0.3,Very-low
0,0,0.5,Very-low
-0.2,0,0.2,Very-low
-0.4,22,0.4,Very-low
-0.2,87,0.8,Low
0.3,188,0.3,Very-low
1.2,337,0.8999,Low
2.0999,364,0.6999,Low
2.5,361,0.8,Low
2.5999,302,1,Low
3,187,0.2,Low
1.7,44,1.6,Low
0.8,2,1.8,Low
1.1,1,1.3,Low
1.3,0,1.4,Low
1.7,0,2.9,Low
2.5,0,2,Low
3.7,0,2.3,Low
4.9,0,3.4,Low
5.5999,0,4.8,Low
5.9,0,6.0999,Low
6.3,0,6.4,Low
6.6999,0,6.5999,Low
7.1999,0,6.8,Low
7.5,0,5.8,Low
7.5999,0,4.5,Low
7.9,1,4.5999,Medium
7.9,12,4.6999,Medium
7.5999,34,4.9,Low
7.3,173,4.0999,Low
6.9,208,4.6999,Low
6.0999,258,5.5,Very-low
5.9,346,5.9,Very-low
5.6999,308,5.6999,Very-low
4.8,176,4.9,Low
2.5,35,3.4,Low
2.3,4,3,Low
2.0999,2,3.5,Low
1.9,0,3.7,Low
1.6,0,3.5,Low
1.2,0,3.9,Very-low
0.6,0,3.2,Very-low
0.4,0,3.9,Very-low
0.1,0,3.5,Very-low
-0.3,0,2.2,Very-low
-0.8999,0,1.7,Very-low
-1.7,0,0.4,Very-low
-2.3,0,0.1,Very-low
-2.5,0,0.8999,Very-low
-3.5999,2,0.6,Low
-3.9,18,0.5,Low
-3.5999,156,0.6,Low
-5.4,369,1,Low
-6.5,298,1.2,Low
-7.4,191,1,Low
-8.5,49,1,Low
-9.6,3,0.6,Low
-10.1,0,0.6,Low
-10.6,0,0.5,Low
-11.4,0,0.8,Low
-12.5,0,1,Low
-13.3,0,1,Low
-14.3,0,0.8999,Low
-14.9,0,0.8999,Low
-15.3,0,0.8999,Low
-15.6,0,0.8999,Low
-15.7,0,0.8999,Low
-15.6,0,0.8,Low
-15.7,0,1,Low
-15.8,0,0.8999,Low
-16.2,1,0.6,Low
-16.2,25,0.5,Low
-15.2,143,0.5,Low
-13.8,264,0.6,Low
-12.6,350,0.8999,Low
-9.5,149,1.5,Low
-9,92,1.1,Low
-8.8,27,1.7,Low
-8.5,1,2.0999,Low
-9,0,1.2,Low
-9,0,2.3,Low
-8.6,0,1.8,Low
-8.3,0,0.8,Low
-7.5,0,2,Low
-7.3,0,1.6,Low
-6.5999,0,1,Medium
-6.1999,0,1.5,Low
-6.0999,0,1.6,Low
-6.5999,0,0.6,Low
-6,0,1.6,Low
-6.3,0,0.5,Low
-5.8,0,1.5,Low
-5.5,0,1.9,Low
-5.0999,32,1.8,Low
-4.0999,133,2.2,Low
-3.7,104,2.4,Low
-3.4,122,2.4,Low
-2.4,209,2.8,Low
-1.4,195,2.7,Low
-1.1,115,2.5999,Low
-1.2,65,2.2,Low
-1.7,19,1.2,Low
-2.5999,2,0.2,Low
-3.5999,0,0.2,Very-low
-3.7,0,0.4,Very-low
-4.6999,0,0.2,Low
-5.4,0,0.1,Low
-6,0,0.2,Low
-6.5,0,0.1,Low
-7.0999,0,0.2,Low
-7.6999,0,0,Low
-8,0,0,Low
