State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
41,5,4,44201,1,45.25928,-122.588151,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015292,0.018,7,17,, - ,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,Not in a city,"Portland-Vancouver-Hillsboro, OR-WA",8/5/16
53,73,5,44201,1,48.95074,-122.55441,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015792,0.024,11,22,, - ,CUSTER - LOOMIS,1330 LOOMIS TRAIL RD,Washington,Whatcom,Custer,"Bellingham, WA",8/5/16
6,41,1,44201,1,37.97231,-122.520004,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.013708,0.015,0,14,, - ,San Rafael,534 4TH ST.,California,Marin,San Rafael,"San Francisco-Oakland-Hayward, CA",8/5/16
53,11,11,44201,1,45.616667,-122.516667,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.018375,0.023,11,21,, - ,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",8/5/16
53,57,20,44201,1,48.397787,-122.504971,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.022583,0.027,10,25,, - ,,"Northwest Indian College, 17113 Tallawhalt Lane",Washington,Skagit,Not in a city,"Mount Vernon-Anacortes, WA",8/5/16
6,89,9,44201,1,40.689253,-122.402194,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.017125,0.024,13,22,, - ,Shasta Lake - Lake Blvd,"13791 Lake Blvd, Shasta Lake, CA",California,Shasta,Shasta Lake,"Redding, CA",8/1/16
6,75,5,44201,1,37.765946,-122.399044,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.016958,0.021,20,19,, - ,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,"San Francisco-Oakland-Hayward, CA",8/2/16
6,89,4,44201,1,40.549985,-122.382011,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.015542,0.024,12,22,, - ,Redding - Health Department,"HLTH CTR-2630 BRESLAUER WAY, REDDING",California,Shasta,Redding,"Redding, CA",8/2/16
6,13,1004,44201,1,37.9604,-122.356811,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.018042,0.02,19,19,, - ,San Pablo,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,"San Francisco-Oakland-Hayward, CA",8/1/16
53,33,80,44201,1,47.568236,-122.308628,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,7/1/12,Parts per million,None,24,100,0.012917,0.018,8,17,, - ,SEATTLE - BEACON HILL,4103 BEACON HILL S,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",10/6/16
